character,dialog,seasons
Chris, What are you... starts to choke and struggle,season 12
Stewie," in an Italian-accented whisper You break-a my heart, Chris. You break-a my heart.",season 12
Stewie, There. Now I said it. So shut your mouth.,season 12
Stewie," sees a car heading towards Brian Brian, look out! the car runs over Brian, breaking the hockey stick, and the toy net Aah, Brian! runs to him",season 12
Lois," runs out of the house with Peter, Chris, and Meg and saw Brian hurt Oh, my God! runs to him Brian! Brian, can you hear me?!",season 12
Peter," Holy crap, what the hell happened?!",season 12
Peter, Aren't you supposed to be running around?,season 12
Stewie," Damn it, Brian, you can't die! We were gonna do so many things together! We were gonna become windsurfers! I was gonna be a little better than you, but we were both gonna be good!",season 12
Lois," You guys, I think- I think Brian's trying to say something.",season 12
Brian, last words You... You've given me a wonderful life... I love you all. smiles gently before quietly passing away,season 12
Chris," voice breaking Oh, my God, he's...",season 12
Lois," voice breaking Yes, Chris... I'm afraid... I'm afraid that our Brian is dead! sobs",season 12
Quagmire, meditating I can be Giggity. I can be Goo.,season 12
Stewie," Meg, could you zip up your fly? That's kind of wafting over here.",season 12
Chris, So did you get a lot of trim on the road?,season 12
Peter," nodding Chris, that's wildly inappropriate.",season 12
Peter, Quagmire? I thought you were still out on the road!,season 12
Quagmire," I was, but what was Simon without Garfunkel?",season 12
Peter, Wildly successful?,season 12
Lois, It's Stewie's first Christmas!,season 12
Stewie, Again?,season 12
Stewie, Who the hell is Georgette?,season 12
Stewie," Hey, who are you talking to out here?",season 12
Brian, A pretty awesome guy.,season 12
Brian," Wow, Stewie, thank you for saving my life! Y'know, a whole lot of other families would've just gotten another dog and moved on.",season 12
Stewie," Oh, oh, w... we could, we could never do something like that, Brian! starts to fade away",season 12
Brian," Stewie, wh-what's happening to you?",season 12
Stewie," looks at himself I think... my timeline has been erased! The timeline where you died no longer exists! Merry Christmas, Brian. finally fades away",season 12
Brian," Thanks for everything, Stewie. You're my best friend, and I love you.",season 12
Stewie," All I can say, Brian, is you've been making really creepy eye contact with me all morning, and I want it to stop right now.",season 12
Stewie," comes from the future and sees Brian on the street. He sees the car heading right for him and runs to him Brian, look out! pushes him out of the way, letting the hockey stick and toy net to get broken by the car",season 12
Brian, What the hell?!,season 12
Stewie," You're alive, my friend! hugs him",season 12
Brian," What? Of course, l'm alive. What the hell's going on here?",season 12
Stewie," Brian, points at the car that car killed you, and when it did, a little part of me died as well. I couldn't live without you, so I came back from the future to save your life.",season 12
Brian, Wait a minute. What are you talking about? I saw you destroy your time machine.,season 12
Stewie," Yes, but luckily, I ran into another me from the past, so I stole his return pad and came back here. Oh, that reminds me. I better send this back to where it came from.",season 12
Stewie, You know you've made it when you've got a teenage boss.,season 12
Peter, My hog cannot partake in the slop this evening.,season 12
Lois," Oh, Peter, you're up.",season 12
Stewie, That's not what I heard.,season 12
Lois," This shouldn't embarrass you, the size should embarrass you.",season 12
Peter, Jack and the Beanstalk. And that title could be a fairy tale or a porn. Let's find out.,season 12
Quagmire, Where'd that thing come from? It's blocking my view of Little Miss Muffet's truffet.,season 12
Stewie," You know, I'm not sure if that's our hero, or just a lunatic going house-to-house murdering people.",season 12
Quagmire, to Peter You can't even walk and chew gum at the same time!,season 12
Lois, Come on!,season 12
Peter, I'm doin' somethin'. chews One thing at a time!,season 12
Quagmire," DAMN IT, PETER, THAT'S IT! I AM DONE! I'M DONE WITH YOU! I'M DONE WITH ALL YOUR CRAP, I NEVER WANT TO SPEAK TO YOU AGAIN! THIS FRIENDSHIP IS OVER! leaves",season 12
Peter, Well fine! I don't need your friendship anyway.,season 12
Peter, Now this is a gun without a safety.,season 12
Peter," Quite the difference, huh?",season 12
Quagmire," DAMN IT, PETER, YOU SON OF A BITCH, YOU SHOT ME!",season 12
Peter," All right, Quagmire, I have given this a lot of thought. I need you to shoot me in the arm and we can be friends again.",season 12
Quagmire, Okay.,season 12
Peter," after realizing what he just told Quagmire Whoa, whoa, whoa, whoa! No, no, I was supposed to offer, and then you were supposed to say, ""No, Peter, I'm not gonna shoot you, although I do appreciate the gesture.""",season 12
Quagmire," Hand me the gun, Peter.",season 12
Peter," I, uh, pass the test?",season 12
Quagmire," No, Peter. I'm gonna shoot you like a dirty animal.",season 12
Peter, under his breath You do everything gross.,season 12
Peter," Uh, maybe. Maybe Friday. Uh, now where are the gays?",season 12
Peter," No, no, no. The really cartoony gays.",season 12
Peter," There you are, we're gonna need you guys all week.",season 12
Cleveland," Hey, Death. What are you doing here?",season 12
Cleveland," Ah, come on, man. I'm on vacation.",season 12
Peter," And you still won't give us an Emmy?! Come on!! If Modern Family did that joke, you'd be carryin' 'em around on your shoulders!!",season 12
Chris," Hey, Dad, are you busy? I was thinking we could spend some time together.",season 12
Peter," Okay, are you a television set of the Internet?",season 12
Chris, No.,season 12
Peter," Oh, then no.",season 12
Peter," Yes. Keep being good, and all the eggshells and coffee grounds will be yours.",season 12
Peter, You've overstepped! No Christmas!,season 12
Chris, Let me show you something...,season 12
Chris," No, that was just in your mind!",season 12
Chris," No, you can do it basically whenever you're not doing something else.",season 12
Stewie," That was a stroller, not a speedbump.",season 12
Chris," What if I said ""Hey there, shorty!""?",season 12
Stewie," I'd say ""Have another donut, you albino gorilla.""",season 12
Peter," Don't flatter yourself, that was from this morning.",season 12
Peter," Huh, it says ""Glenn Quagmire"". But if you squint and imagine it says ""Peter Griffin"", it says ""Peter Griffin"".",season 12
Lois," Peter, it's Quagmire's. Take it next door.",season 12
Peter," Now, now, hold on, Lois. Now, this poses a very difficult ethical dilemma. Do I deliver the package to its rightful owner? Or do I open it up and see if it contains He-Mans?",season 12
Lois, Do not open that box!,season 12
Peter," You shall battle to the death, or the winner will be given his freedom! Why are you looking at me like that?",season 12
Lois," Peter, would you like a glass of-- sees a decapitated Peter with a bloodied neck OH MY GOD! I TOLD YOU NOT TO PLAY GOD WITH THOSE ANTS!",season 12
Stewie," Hey, what happened to my new friend...that kid who sort of looks like me from behind?",season 12
Chris, How were all your business trips?,season 12
Peter," Oh, exemplary, Chris.",season 12
Chris, I don't understand what either of those words mean.,season 12
Stewie," One of them was ""Chris.""",season 12
Peter," Shall we away for ""relations""?",season 12
Lois," I'm not sure what you're saying, but let's hump!",season 12
Lois," What's wrong with you, Peter?!",season 12
Peter," Lois, I'm sorry.",season 12
Lois, How the hell can you possibly mistake another baby for Stewie?!,season 12
Peter," Now, calm down, Lois. You're gonna say something you don't mean.",season 12
Lois," Oh, no, I'm not! You're an idiot!",season 12
Peter, Hurt You don't mean that.,season 12
Stewie, Stewie looks Facebook on the phone I already got a Facebook friend request from the dad. Is that weird?,season 12
Lois," Peter, I have put up with your nonsense for 20 years, but today you crossed the line! You let the helpless baby in the public park. And that's only an idiot would do!",season 12
Peter, I'm not an idiot!,season 12
Peter, Awesome!,season 12
Chris, to a passing waiter Kill that one.,season 12
Brian, Holy crap! I'm so much faster on all fours!,season 12
Peter," That is a tough, tough place to get into. That is tough. But once you're in there, you'll be surprised how much you like it.",season 12
Stewie, The rules of this city are very unclear.,season 12
Meg, You never got to pursue your dream. No wonder you hate me.,season 12
Peter," I don't hate ya, Meg. You're my kid.",season 12
Meg, Dad I'm sorry to tell you this but I can't go with you.,season 12
Peter, Are you sure?,season 12
Meg, I just got off the phone with Green Mountain College and they said they'll let me reschedule my interview so I'm going to drive back up there it's time for me to get serious about my life and start taking some responsibility.,season 12
Cleveland, Wassup?! The Cleveland Show theme music plays as Cleveland approaches the guys,season 12
Peter," normally Oh, hey, Cleveland!",season 12
Quagmire," Wait, don't you have a show to do...chuckles Oh wait, that's right!",season 12
Cleveland," Alright, I knew this was comin', everybody gimme your best shot.",season 12
Quagmire," Oh, my G... Where do I even begin? Y'know, it's not a good sign that this is the first time a lot of people are realizing you had a show!",season 12
Cleveland, We did about the same as Bob's Burgers.,season 12
Quagmire," That's your bar?! Oh, shame on you!",season 12
Cleveland, This is good. This is constructive.,season 12
Quagmire," The talking bear was so bad, Seth MacFarlane quit voicing him after Season 2.",season 12
Cleveland, It's hard to make a talkin' bear funny.,season 12
Quagmire, laughs It worked out okay in movie form.,season 12
Cleveland, Anything else?,season 12
Peter," Yeah, here's four seasons worth of DVDs of what we've been up to. Y'know, just so you're back up to speed. And I'll warn ya ahead of time, these have jokes in 'em.",season 12
Cleveland, I...I don't have a DVD player.,season 12
Stewie," Hey, Lois, look, I'm smoking! You can't control dick! I'm a roof baby now!",season 12
Stewie, She is camel-toeing the hell out of that leotard.,season 12
Peter, Unga-Bunga! Unga-Bunga! Unga-Bunga!,season 12
Stewie, What is that? What's happening?,season 12
Peter, carrying mattresses Unga-Bunga! Unga-Bunga! Unga-Bunga!,season 12
Brian," Peter, what are you doing?",season 12
Peter," Playing ""Unga-Bunga"". It's the championship.",season 12
Stewie, Go away! This is why Zillow estimates our house at $4.00.,season 12
Brian," What the hell is ""Unga-Bunga""?",season 12
Peter," Two guys running at each other with mattresses and, um, and that's kind of it.",season 12
Chris," Stop explaining it to the dog, let's do this!",season 12
Stewie, Stop it! I'm trying to watch my program!,season 12
Peter," Oh, Chris, look! Mom's naked!",season 12
Chris, Where?,season 12
Peter, smacking Chris with his mattress You creep. Chris crashes into and breaks the TV,season 12
Stewie, (gasps) No!,season 12
Lois," Peter, what's going on in...",season 12
Peter, smacking Lois with his mattress Unga-Bunga!,season 12
Stewie, You imbeciles! you've ruined my night! I asked you to do one thing in this house!,season 12
Brian," Stewie, just watch your show upstairs.",season 12
Stewie," I don't want to watch it upstairs on the small TV, I want to watch it downstairs on the big TV! his face turns red as he starts crying I WANT TO WATCH MY SHOW! (crying)",season 12
Lois," Oh no, Stewie's havin' a tantrum. Come here, sweetie.",season 12
Lois," OW! Screw you, you little turd!",season 12
Meg," enters the living room What's all that noise? sees Stewie upset Aw, do you want a hug from your big sister? picks Stewie up and is headbutted OW!",season 12
Lois," You've earned yourself a time-out, young man. Now, you stay in here until you can behave. she closed the door",season 12
Stewie," I HATE YOU! You always ruin everything! God, it's a family of idiots! I wish...I wish I was never born! he sees Rupert wearing a fire helmet Not tonight, Rupert. I'm much too upset.",season 12
Peter, Toast house!,season 12
Lois," Oh my god, Peter. What happened to your hair?!",season 12
Peter, I don't know. I'm bald! You did this! What the hell's the matter with you!?,season 12
Lois, I didn't do it. but you look really cool.,season 12
Peter, I do?,season 12
Lois," Yeah, you look like you could be a celebrity.",season 12
Peter," Lois, what the hell did you do? I just got a note from Goodwill thanking me for donating all my porn.",season 12
Lois," WHAT?! I'm sick and tired of you blaming me for things I didn't do! And I've got a bone to pick with you! I don't appreciate how you spray-painted ""vile woman"" on the bedroom wall.",season 12
Peter, That wasn't me! Must've been one of the kids!,season 12
Lois," That's ridiculous, Peter! Chris can't write, and we don't allow Meg upstairs!",season 12
Peter," Well, you know something, I'm starting to think whoever wrote that is right!",season 12
Lois," Well, maybe I don't want to live with someone who doesn't respect me!",season 12
Peter," Well then, maybe I should just leave!",season 12
Lois, And where are you gonna go?! You got nothing else and nobody else!!,season 12
Stewie, And now for the closer.,season 12
Cleveland, What?!,season 4
Cleveland, Those are so his mannerisms. laughs,season 4
Cleveland," Glenn Quagmire, YOURE DEAD!!",season 4
Cleveland, Youre eatin somethin!,season 4
Cleveland, And I enjoyed shootin Skeet.,season 4
Cleveland, Theres nothin good about what you do or who you are.,season 4
Cleveland, Meg is my least favorite of all your children!,season 5
Cleveland, I'm that kind of drunk.,season 5
Cleveland, What's all the commotion?,season 5
Cleveland," Yeah, I'm afraid I might- Cleveland falls off the mountain, then Spider-Man arrives, and shoots a web under Cleveland, breaking his fall Wow. Thanks, Spider-Man!",season 6
Cleveland," That thing don't bite, do it?",season 6
Cleveland," Hey, Death. What are you doing here?",season 12
Cleveland," Ah, come on, man. I'm on vacation.",season 12
Cleveland, Wassup?! The Cleveland Show theme music plays as Cleveland approaches the guys,season 12
Cleveland," Alright, I knew this was comin', everybody gimme your best shot.",season 12
Cleveland, We did about the same as Bob's Burgers.,season 12
Cleveland, This is good. This is constructive.,season 12
Cleveland, It's hard to make a talkin' bear funny.,season 12
Cleveland, Anything else?,season 12
Cleveland, I...I don't have a DVD player.,season 12
